Wl,value
380,5.587500E-2
390,6.162500E-2
400,7.170000E-2
410,7.747500E-2
420,7.442500E-2
430,6.887500E-2
440,6.450000E-2
450,6.192500E-2
460,6.080000E-2
470,6.075000E-2
480,6.165000E-2
490,6.402500E-2
500,6.727500E-2
510,7.105000E-2
520,7.687499E-2
530,8.192500E-2
540,8.459999E-2
550,8.712500E-2
560,9.209999E-2
570,1.033250E-1
580,1.187500E-1
590,1.325750E-1
600,1.422000E-1
610,1.498000E-1
620,1.568750E-1
630,1.653500E-1
640,1.748500E-1
650,1.887000E-1
660,2.060250E-1
670,2.257750E-1
680,2.459250E-1
690,2.667750E-1
700,2.896500E-1
710,3.137500E-1
720,3.423500E-1
730,3.658250E-1